Title,Lyrics
24hrs Dope,"1 Contributor24hrs Dope Lyrics[Mistaken for a bitch nigga I'm a rude boy I’ll come around and dala you Of you talk tomuch cause you think you got balls i will grab that nine and put one on you Run on you Jump on you Frie on you Grab shags and Slide on you and we live by the code On these streets we got flows like Tsunami.]   [Mistaken for a bitch nigga I'm a rude boy I'll come around and dala you Of you talk tomuch cause you think you got balls i will grab that nine and put one on you Run on you Jump on you Frie on you Grab shags and Slide on you and we live by the code On these streets we got flows like Tsunami.]   Ok alright fuck the comparison it ain’t Easy to stay in the game when you ain't got no bars,some days I re qoute the boss I really thought you owned them bars I came back for the dying culture because all of you rappers Rap about cars I'm a jeweller what you know about Briefcas In twenty eighteen I was only making rings and pendants now all I do is custom guns On your crew it's cubic zirconias the only CZs in my gang is Seventy five SP-01 I have been one men thing like Pi when I look in my bag its only lions and cheetahs mean time I'm dropping Buffalo's  These Days izinto azifani ngenzi mali ngiphupha oDilaila sezikhona inkomo zobuthongo tshelama outy angibeke kojozi Ngzo shayisa seng phethi saka ngigqomi diamani engathi ngizobheka uNdu beno Danya You might also likeAhhh what's up !    [Mistaken for a bitch nigga I'm a rude boy I’ll come around and dala you Of you talk tomuch cause you think you got balls i will grab that nine and put one on you Run on you Jump on you Frie on you Grab shags and Slide on you and we live by the code On these streets we got flows like Tsunami.]  [Mistaken for a bitch nigga I’m a rude boy I'll come around and dala you Of you talk tomuch cause you think you got balls i will grab that nine and put one on you Run on you Jump on you Frie on you Grab shags and Slide on you and we live by the code On these streets we got flows like Tsunami.]Embed"
27years of Art,"1 Contributor27years of Art LyricsAll I want is clean sheets like am Goldie standing on the post taking shots like I'm Caslas We used to stay afloat 8n the shallow now we go deep  Cops give you fish and they Come for your deep freeze I stack on on my self chopping heads like a locust I might be a men living large like Pablo but in the end look Mah no hands like Che black boy is gone Bear  Gang on gang who cares streets violence they'll say or he shot back on chase I've seen niggas die for bate and I've seen niggas die for hoes and drinks I'd rather chop a Bong than to die for a drip I take life as a long strip and am still on my Day onе strip Counting on this day and night shift like a prisoner just smashed beers with my niggas at midnight Phonеy niggas get crashed robbing niggas we were raised by ,your uncle was a g the only reason why you live we'll be respecting his blood why you living like the one you ain't never stole a penny you ain't never stole a pen,you should gets your self a job before you gets you locked up... Are!   [ I did I Done twenty-seven years of art like Madiba I did I done twenty-seven years of art like Madiba Tryna figure out what comes first the soul or the body i live in  Tryna figure out what comes first the soul or the body I live in.] (Yeahhhh hey Ohh ) x2  Some of my niggas are trapped in the trench they couldn't make it home only made they way out Living on the road until they lay on the side that's a bad bitch got that young nigga dead Living like a toff he got killed by speed mad man heard that OG rob banks cops shot him down right in front of his kids ,we were school boys in shirts and Grey's Some niggas bunked school for the free smoke days got beat by cops when they hit the bando I was at the Bat doing drums and art , as a Teenage boy eating cakes and milk one thing I found out in the streets they say crime is art when you do it right My ""vase"" so good I can ""outshine"" Clive I got that touch this is why I do art, One man Thing in the yard by my self , if I made it back home I'm gone buy that drink pop pour it on ice ,ubber my girl on some quality time or ride with the bros taking fives At night making bad girls twerk living like Toffs... You might also like [ I did I Done twenty-seven years of art like Madiba I did I done twenty-seven years of art like Madiba Tryna figure out what comes first the soul or the body i live in  Tryna figure out what comes first the soul or the body I live in.]  ( it's about time you listen to Boomshaka )Embed"
2am On N2,"1 Contributor2am On N2 Lyrics2am on N2 me and my niggas eating you and your niggas still sleeping Gang Gang Gang said What Look at your gang is still sleeping Let's stop and smoke this joint look at the sauce is still dripping and your girl is still licking..  2am on N2 me and my niggas eating you and your niggas still sleeping Gang Gang Gang said What Look at your gang is still sleeping Let's stop and smoke this joint look at the sauce is still dripping and your girl is still licking...  In The bando drilling and trapping tryna get this beat right spitting and and trapping then broski pulled with a good HAF and said smoke this you gone get this beat right and said mate you ain't got no charger ? My battery low I just need like two bars on this phone I just made like two k In the city the streets is buzzing green light men still flipping and turning like F1 Jump on the phone tell the girls come get some 442 on the roster man down  Days like this i used to cut my profit money Trapped in the bando counting how i came back inline its funny, I used to get stung by bees whilst we chasing honey Snqawnqaw mandem drilling and swerving for a hundred still keep it a Hundred... Breaking bread with my day ones we just praying for more rain, used to be down we were feeling like sad souls in a bando like OJ Feeding of pain niggas turned into savage cause my nigga we don't play Swinging and swinging I send you to paradise cause you Fucks with Cold Play Why men still riding in the wrong lane when i told you this ma game rappers who think that I grew in the suburbs might just put them on flight mode and then I'll be fucking your girl with her besties and the sex looking tasty   [2am on N2 me and my niggas eating you and your niggas still sleeping Gang! Gang! Gang! said What !?!? Look at your gang is still sleeping Let's stop and smoke this joint look at the sauce is still dripping and your girl is still licking] You might also like[2am on N2 me and my niggas eating you and your niggas still sleeping Gang! Gang! Gang! said What ?!?! Look at your gang is still sleeping Let's stop and smoke this joint look at the sauce is still dripping and your girl is still licking]   Still with my homies on N2 breaking bread from midnight nights  Danced with a devil a countless times nights like this I don't need no light High as a Toff until sunrise never look me in the eyes Got a six just incase we dive men got to get back up and slide Frie on them opps like tossing Fries Noticed the stove is on six that's when am throwing a peace sign That's when I Pssh pshh crossing thr red light look at the back it's too bright bring that here let me squeeze that juice You know I like that orange you know I like to smash and grab it like rampage  Still got bars we can go all night we used to get down through day and night in a white avanza look at the mandem fully packed look at the man Damn fully packed like Mandem Out on the streets with my gangs and bloods it's has been like this since lockdown ,, 5_0s tryna turn the drilling down but we brought it back on home ground in a white avanza Bomping Raps ma nigga Bantu said The World is Watching give me the Tshh tshhh tshh and close the windows it's me against the world like makaveli On the streets we driving dirty dirty!!!  [2am on N2 me and my niggas eating you and your niggas still sleeping Gang! Gang! Gang! said What !?!? Look at your gang is still sleeping Let's stop and smoke this joint look at the sauce is still dripping and your girl is still licking]  [2am on N2 me and my niggas eating you and your niggas still sleeping Gang !Gang! Gang! said What !?! Look at your gang is still sleeping Let's stop and smoke this joint look at the sauce is still dripping and your girl is still licking]Embed"
442,"1 Contributor442 Lyrics[He Said He Got a 442 for All of the rappers inline he a twenty-seven like Rambo if you dropping wack bars The Gang I come From is Blood you injure one you injure all You don't wanna test my set! Ndlova Dlova on Your Face on 031And The Streets Is Done...  He Said He Got a 442 for All of the rappers inline he a twenty-seven like Rambo if you dropping wack bars The Gang I come From is Blood you injure one you injure all Ndlova Dlova on Your Face on 031 And The Streets Is Done...]  All of them Men are blessеd raised in hell and Cursed in hеaven in the Bando pulling bags and heads don't stop when the beats are banging Go ahead and look for the link we'll be checking mics when The streets is begging in a gang where you injure and you Better run when the beez are buzzing them men don't Buy red bottoms take a walk in the hood its bloody  Some days we smoked like toffs some days it's C-O style we Flood up in a Yaris sticks is waving like Ntini mandem Covered in hoodies and beanies, don't ask me who is the illest Because my hood is filled up with hustlers and Jack men Some men got tattooed tears am from a gang where Boyz don't cry  On the Mic go and spit that shit You see me on the road you don't know me still I don't know don't ask no questions ! I don't know who drills who spins... But I know when the sun is down and you got some opps you can never sleep... [He Said He Got a 442 for All of the rappers inline he a twenty-seven like Rambo if you dropping wack bars The Gang I come From is Blood you injure one you injure all You don't wanna test my set! Ndlova Dlova on Your Face on 031And The Streets Is Done... You might also likeHe Said He Got a 442 for All of the rappers Inline he a twenty-seven like Rambo if you dropping wack bars The Gang I come From is Blood you injure one you injure all Ndlova Dlova on Your Face on 031 And The Streets Is Done...]     Couple of Ks on Online streamings where the fuck is kasi Mp Three my gang still mad from back than now we pull up on the scenes like Baghdad Few candles Couple of Ks and Needles Beat you up when you fuck it up my gang Wanna sell they soul and you still got time for noodles In Town where we searched for Opps Took that guy to the Wise men's Bandos Beat him up and the neighbors said burn him but the only thing we needed is the back pack When the cops pulled up iam the one who didn't run I just told them why we mad and I stepped back Lungsta and I went for a graph and the interview turned out fucked up Boss lady said we mandem we no fit for no office Working back to the ghetto you ugly road boys No coins for a cab or taxi From N2 to the Studio Fucked up Go ahead grab that bench all I need is water and few joints Go ahead and grab that bench all I need is water and few joints...  [He Said He Got a 442 for All of the rappers inline he a twenty-seven like Rambo if you dropping wack bars The Gang I come From is Blood you injure one you injure all You don't wanna test my set! Ndlova Dlova on Your Face on 031And The Streets Is Done...  He Said He Got a 442 for All of the rappers inline he a twenty-seven like Rambo if you dropping wack bars The Gang I come From is Blood you injure one you injure all Ndlova Dlova on Your Face on 031 And The Streets Is Done...]Embed"
B.I.G For Life,"1 ContributorB.I.G For Life LyricsMost of the time I am civilized I handle my script Like a praying man but out on these streets it's duck and dive The things that we do for peace and bands I had to behave like a hooligan How Come they still hating judging men It must be that makasana flow I roll to that dala what you must  One time for all the B.I.Gs stepped in the game With some rock and a sling kickin the door waving Four four If we had no mics thes guns would sing. Shots in the air for liberty Posing like a Ny statue am like damn do the wooo Why men wanna stick for sneakers and I checked On the books thеy say blood Is thicker than nikes Lights pleasе these men don't run like us they don't Breathe like us looking at the game how it came From dust. A bunch of field niggas cutting roses I thought blood was thicker than cotton ok am in the game 21 like Regie Jackson on the wing like Albert Chapmen On the mic I've been Killin bars. On the scene I don't drop no caution fuck it up with no promotion 2am at the fill up station with the gang or ""I"" Still jump on a solo mission like Tom cruise Fake IDs these men been asking questions Paging looking for your Hotspot nah... Tricks is up my sleeve like Canibus look can I Bust Yoh ! you niggas should listen Yow shut the fuck up yow you niggas should listen You might also like[Most of the time I am civilized I handle my script Like a praying man but out on these streets it's duck and dive The things that we do for peace and bands I had to behave like a hooligan how Come they still hating judging men  It must be that makasana flow I roll to that dala what you must  Most of the time I am civilized I handle my script like a praying man But out on these streets it's duck and dive  The things that we do for peace and bands I had to behave like a hooligan how Come they still hating judging men  It must be that makasana flow I roll to that Dala what you must.]    Grab the mic no fucks given ak bars like thanks Giving hump your girl like bad driving lunch bar coz She been begging or Magnum coz she been thirsty get me I like girls with yoga ass and fine ladies and skin Never mind you can use my pin and swipe through It like tip trail when am crossed I come for mines like oj Simpson on these rails You know the things we do for life got some homies trapped in jail See them cop when I see them cops coz now days I ain't wearing rags back in the days we would duck and dive At the BR station Moving bags 6pm like a normal worker Dress code of a working men only if you knew what's in the Bag 5_0s would have had my back Twenty Four Hours I run this track sliding I don't need no brakes On the road I had four ways I flipped my ming for a better steak Drop a mix and watch it bake used to ride out with my OGs At the Rank we were selling Guns flip bullet coins at The local market I ain't saying I Ain't No Super Man but I'll Price your head like a clipping barber,, This is the hood of Makere Men move around with stolen choppers R.I.P to my OG sganxa if you was alive You would be in a Wagon or A Bently or Lambor who knows may e a boat in the Fucking harbor Snqawnqaw For Life [Most of the time I am civilized I handle my script like a praying man But out on these streets it's duck and dive the things that we do for peace and bands I had to behave like a hooligan how Come they still hating judging men  It must be that makasana flow I roll to that dala what you must  Most of the time I am civilized I handle my script like a praying man But out on these streets it's duck and dive the things that we do for peace and bands I had to behave like a hooligan how Come they still hating judging men  It must be that makasana flow I roll to that dala what you must.]Embed"
Big JAre Maker,"1 ContributorBig JAre Maker LyricsIAm twisting my body and soul in fire I got Bad demons screaming louder than Anita Baker,took all these beats these rappers refused brought them back to life got these fake ass rappers confused like monks in meditation and Pharoahs in gold tombs If you see me wearing shoes am just hanging with bros during the day am bare feet because i stay hidden I found way to summon the breeze my deep breaths are inline line with the winds I meditate with my eyes open I barely close my lids, a wise men once said tears are the first symbol of pain before blood I unleashed them pitbulls on them boys they do bleed I was in the trap banging them walls like am creed, my bars outta space Oumuamua I wrote more then sixteen bars couldn't fit in the A4, let a hood nigga be free Yeah! _______________  [Big Men BigAre Ben Big Zaza Burn another spliff  Rude Boy Big Shotta ! I said Waagwaan Fam, blubber mouth Murder them murder them murder them Fire men Bambaclaat.]  [Big Men BigAre Ben Big Zaza Burn another spliff  Rude Boy Big Shotta ! I said Waagwaan Fam, blubber mouth Murder them murder them murder them Fire men Bambaclaat.]  _____________________________ [I got sick adlips and beats!] That's the level of Rap I get everytime I hear a new cat, stressed niggas been drilling the game with no face  My fear is being miss understood or mislad I woke up the other day and realized Trayvone Martin and Ben shared a Date before he died Young nigga in a hood look what they did to the dude My worst fear is leaving this earth not unlocked before Simone Toko on Earth There was Christ If we all worked together like kids with one mind we would see angels walk out the sky in broad day, like kids bringing home happy Jinns from play grounds the spirit caused by having fun and the fear of being whooped because it's late I got the circle of Cern spinning around my head like Christ I crashed a solar panel and saw the same fabric as my hair conducting sunlight to energy ______________________ [Big Men BigAre Ben Big Zaza Burn another spliff  Rude Boy Big Shotta ! I said Waagwaan Fam, blubber mouth Murder them murder them murder them Fire men Bambaclaat.] You might also like[Big Men BigAre Ben Big Zaza Burn another spliff  Rude Boy Big Shotta ! I said Waagwaan Fam, blubber mouth Murder them murder them murder them Fire men Bambaclaat.]Embed"
Blasphemous,"1 ContributorBlasphemous LyricsI'm digging a trench for all the rappers in the Rap game cause there's never been a time where i chose to stay calm running out chasing diam whilst I watch this Rap die Fake niggas bow down real niggas what's up Talk shit about me get your self fucked up you the typo nigga that's gone gets me locked up I got demons on the low and I treat them like bonsai ill never let them grow Every morning I sweep around micasa like a monk, I heard them talk about peace I hope I find the right door If this Rap don't pay am heading straight for the Doe You have seen niggas staff ride  You've seen niggas Surf Board Other niggas touch rails and they make them punch lines All the click all the bang iAnthem eSnqawnqaw, on these streets look around k'hlale kushi Nqaw Live On these streets look around kuhlale kushi. ..  [All of that crap is Blasphemous ; All of that crap is Blasphemous; All of that crap is Blasphemous; Yeah go ahead talk about Ben.!  All of that crap is Blasphemous ; All of that crap is Blasphemous; All of that crap is Blasphemous; Yeah go ahead talk about Ben.!]  They talk shit about me talk shit about Ben they say sometimes I don't drop and sometimes I don't flow If I sleep for seven days pleas don't Burry me alive I'll be awake some where snatching demons of their cops Iam just living in a world and time where iam misunderstood, never been good for the hood I hustle tomuch wonder why they think I got a jinn in a booth never seen such must have made pact with a snake That niggas to black never been blessed from his birth or what else He used to stick rides with his gang now they cursed Never been an eye for an eye all I see is drones in the sky whilst am trapped in my yard steady am doing my bench pressYou might also likeEmbed"
Boyz Don’t Cry,"1 ContributorBoyz Don’t Cry LyricsRose of the slums rainy days don't matter I put my lines on these strings till the bread gets butter Still trapped in the hood all I hear is make cheddar because them ps in the bank could make men think better stepped on a kid while I was tryna reach further but am still in the booth casting stories from a feather Lost some men to guns suicide and sets some of my fam in drugs they nine to five for the pipe They lost they way on the rise I think they fooled by they eyes In my hood there's no living fam we pray to survive  Humble niggas they grind and ganstar niggas go grab Disabled men they go beg hoping you'd reach in your bag  I got my feet in the game iam neck deep in this beat I lost some bags on the way Tired of running the streets no rapper code signed me my words came from OGs go ahead buy me a drink and you can keep the fugees  [When I came up and sometimes I fell down and who ever was around they said Boyz don't cry Sometimes you lose diams and sometimes you lose peers ou here on these streets you know Boyz don't cry  When I came up and sometimes I fell down and who ever was around they said Boyz don't cry Sometimes you lose diams and sometimes you lose peers ou here on these streets you know Boyz don't cry]  In twenty fourteen I moaned they shot big bro in the head and put his face on the news and wrote shit on his name I was mad and confused and gave the journalists Jabs the next day it was fixed before we put him to rest  In twenty twenty I moaned lost my nephew in Feb because he was beating them grown men they brought him a shag,they took him out at the loo stabbed his neck from the back whilst he was running he fell them men jumped on his chest We searched his body for days before we put him to rest I had to be the big bro and wash the wounds off his name  In October I moaned my granny fell at the tap with no help and she left we had to put her to rest Because I was low on the bag some men jumped on her grave Twenty twenty was not good lost uncle Phill he used to take me to the doctor when I was sick a a kid , with so many RIPs don't Mind me wearing black... You might also like[When I came up and sometimes I fell down and who ever was around they said Boyz don't cry Sometimes you lose diams and sometimes you lose peers ou here on these streets you know Boyz don't cry Keep your head to sky never back down and never think much you know.. Boyz Don't Cry ! When the sun goes down and the moon don't shine you got rain on your door you know ! Boyz Don't CrWhen I came up and sometimes I fell down and who ever was around they said Boyz don't cry Sometimes you lose diams and sometimes you lose peers ou here on these streets you know Boyz don't cry Keep your head to sky never back down and never think much you know.. Boyz Don't Cry ! When the sun goes down and the moon don't shine you got rain on your door you know ! Boyz Don't Cry !]   Sometimes I feel like the sixteens ain't enough all of my bars are delivered from real life..lost tomuch cash tryna get that fast bag some homies almost died driving ubbers in fast lanes ,when I am home I write letters to my bro who is still doing time on that bed with no base  When I started rapping he told me get them be Jazz boy because back then we used to listen to boompaps I hope I make enough fix my nigga pay his bail up before his hair turn grey and his kids men up I got this Rap in my hand like a pits Jaws When iam home I'll be chilling in the Dark room getting thoughts of what's it like in a dark tomb and I believed I could fly back in 03 Could have let my Nose run but i smoke trees got too many Rips I just pray for better days   [When I came up and sometimes I fell down and who ever was around they said Boyz don't cry Sometimes you lose diams and sometimes you lose peers ou here on these streets you know Boyz don't cry Keep your head to sky never back down and never think much you know.. Boyz Don't Cry ! When the sun goes down and the moon don't shine you got rain on your door you know ! Boyz Don't CrWhen I came up and sometimes I fell down and who ever was around they said Boyz don't cry Sometimes you lose diams and sometimes you lose peers ou here on these streets you know Boyz don't cry Keep your head to sky never back down and never think much you know.. Boyz Don't Cry ! When the sun goes down and the moon don't shine you got rain on your door you know ! Boyz Don't Cry ! X2]Embed"
Clean $ Money,"1 ContributorClean $ Money Lyrics[Sisebenza kanzima sfuni Mali Nomubani evuka ucabangi Mali Baba baxolele mabenga gcwali Kade siwa sivuka sfuni Mali...]  [Sisebenza kanzima sfuni Mali Nomubani evuka ucabangi Mali Baba baxolele mabenga gcwali Kade siwa sivuka sfuni Mali...]  ______________  Ngosakhona ngiyazi akulula ukungibona everyday ngikhlulazi Dollar, sfudumale siyekuku godola uyaze kasi sihlezi sithola Angifuni mali yegazi. Ngiya khlulaza mina magazi Kuhlangane ubukhlansi ngithole nobutladzi Lento sayiqala besaba bashana sayishaya bakhala baqala bagcwala Ukuthi uyangazi my brother bhatala Goloza ngiya gadla ngeke ngadlala abafana ngimdala ngisebenza ngiyazi khandla Nkulunkulu mkhulu uhleze namandla  Imali ngiyayi dinga sdingu Madiba irep lezo iqeduku shizila. Lento ngiyayi feeler Ikhali ngiyazi cija mangifika bayobe bevika ndonga dilika kudala sishizilwa ikasi lonke kodwa asaziwa Ngihlaba ngiya hlinza kukhala mabhinca ngikasi ngiyaba shibiza Ngifunu Madiba angithuya ngizwa hey ngifunu madiba  [Sisebеnza kanzima sfuni Mali Nomubani evuka ucabangi Mali Baba baxolele mabеnga gcwali Kade siwa sivuka sfuni Mali...] You might also like[Sisebenza kanzima sfuni Mali Nomubani evuka ucabangi Mali Baba baxolele mabenga gcwali Kade siwa sivuka sfuni Mali...]   Red door oh gold umlando ka ngelekejane nonongoloza uyazi phinda zisezi ntabeni izazi ziyagqoma, imale clean kuqhashama dollar Izithupha nuz vele ziclean koPetori fede bang seba ofakazi vele bamlophe, zulayini scrossama boarder part time splacer ama order Ksayi One Men Ting On The Run kdala sgudla ksalama doda drip to hard imsebe yelanga nomakunga nethi uzoyi phathi umbrella Kule game ngifanano Casta blood line bafunu kuyi hlola sure case akunanje zongi mela Ngisayi shova nge pedal eyodwa namanje bafunukung testa leyo game ntwani zoku costa Kudala sishova nge 0 3 1 sfakama link kphelama data sarepha ksangena wifi Sineyi male stuck online senza kakhulu bakhethu kuscrossa So sometimes kushama gqosha Kule game iminoyi Ank ngenza kakhulu ngi under ground Flow yam ngeke bayimele Compare ulwandle ne water can lana emashayo iphindi shayise Ukhethi Mali nomi bookish Udobhi sbhamu nomi bhayibheli  [Sisebenza kanzima sfuni Mali Nomubani evuka ucabangi Mali Baba baxolele mabenga gcwali Kade siwa sivuka sfuni Mali...]  [Sisebenza kanzima sfuni Mali Nomubani evuka ucabangi Mali Baba baxolele mabenga gcwali Kade siwa sivuka sfuni Mali...]Embed"
Deep Breaths,"1 ContributorDeep Breaths LyricsAll I want is deep breaths how Come am still awake from last night I couldn't sleep ,visions of my life and memories got me digesting grass at night like sheep I smoked twelve joints today god damn I hate growth got me dodging all this pain to my head like am Mayweather the goat I grew up dead bodies at my back yard done better than the Mexican way ,six am I asked my Big bro do you wanna see dead bodies he thought it's a prank I was to young for such if my nigga said I didn't see nothing then I didn't see nothing  A Bunch of OG at my front door smelling like grass, who ME I didn't see no thing ,police showing up high Mr nice lights but I still didn't see nothing Relocated to the hostels and I saw worse ,evеry Mondays ma school shoes were full of blood  I'll nеver be obsessed with the red bottoms my whole hood is dangerous, you can walk in my shoes I give you that I'll be at the Bay bare feet tryna catch these deep breathes like am Nietzsche    We went to the shop came back the OG was shot dead took the Drinks for our selfs even though we were to young for high shelves I was lost as kid and for the first and last i failed a school full year on my school grades, kids wearing white tops young Ben is sky Blue from knee high to T shirt. Feeling like a black sheep I got involved in somany fights and I grew claws another bear in a sheep skin ma nigga say what ? Hostile life hot women taking showers in public toilet with no doors young niggas passing by peeping flesh  I guess it's how I fell in love with Nyash and thighs Five pm at Grounds with the Nazareths blowing natural horns And stomping grounds am on time for the sunsets and deep breathes Half of my younger days were like a run in the apocalypto I almost drowned I almost got hit by a miss fire I almost got chopped up for voodoo spells and black magic I almost got hit by a drunk driver playing hide and seek in the projects  I almost fell in love with the crack and never came back Thank God for hiphop Started out in the heart before we went to the park  You might also likeTo many almosts I bet you almost passed this song on your doubts on a grown boy and I thank God I almost never picked up the pen but i did in ""o"" nine I dropped my first verse with no mics or Rap plugs nor friends Still looking for these deep breathes with no ends I got exposed to the game at the bat in O10 ,but I was at the back painting pictures of freedom fighters and last kings in our tribes Two years later am back with my niggas its the Comg style we in charge of the game , careers died my niggas dropped a diss that the Rap game will never forget Things that I did with the gang were never meant for the record but since these niggas getting paid of the things that we do in Real life Iam on point with the drills am just behind in the game it's to bright I got inspired by metaphors and Punchlines most of these rappers got inspired by adlips and autotune switches, my verse so good got you confused like the death of Pac or George FloydEmbed"
